phi,CH4,N2,O2,density,Cp,viscosity,thermal_conductivity,total enthalpy
0.3,0.017221268884302657,0.7537915667200454,0.2289871643956519,1.1560892833711587,1031.0502731572615,1.8437607138709326e-05,0.026732327101513183,-78132.824494448
0.4,0.02283063434810093,0.7494891818114285,0.22768018384047048,1.1510046993868857,1037.8880061311343,1.8375608508582796e-05,0.026812773253620716,-104203.83393380744
0.5,0.02837633052851681,0.7452356312613029,0.22638803821018036,1.1460216041048934,1044.648127196634,1.8314694165595147e-05,0.026891787468723533,-129978.92354074158
0.6,0.03385943532854184,0.7410300883177666,0.2251104763536915,1.1411369889668141,1051.331950301457,1.8254836115474205e-05,0.026969408371531528,-155463.1031544646
0.7,0.03928100245624755,0.736871744786429,0.22384725275732348,1.136347963166075,1057.940759900052,1.8196007311286145e-05,0.02704567318640973,-180661.27016190128
0.8,0.044642062099854864,0.7327598105126311,0.22259812738751417,1.131651747942869,1064.4758117765207,1.813818161410235e-05,0.02712061780119817,-205578.21263525094
